OBJECTID,MUSYM,MUKEY,WPOINT,FCAPAC,SAT,PSIF,XKSAT,PERC_ROCK
1,s1134,660581,0.125,0.219,0.416,4.878,0.2086,0.2
2,s5747,670663,0.169,0.282,0.437,8.232,0.0952,0.38
3,s5856,670772,0.085,0.173,0.409,2.085,0.4715,0
4,s5553,670469,0.129,0.221,0.448,0.739,0.2816,0.2
5,s5733,670649,0.139,0.27,0.428,13.145,0.1521,0.04
6,s5653,670569,0.096,0.214,0.407,9.85,0.2681,0
7,s5773,670689,0.114,0.235,0.423,9.567,0.2222,0.01
8,s5621,670537,0.118,0.262,0.429,14.99,0.1493,0.02
9,s5748,670664,0.096,0.22,0.412,10.935,0.2529,0
10,s5762,670678,0.077,0.25,0.4,23.432,0.2095,0
11,s5706,670622,0.112,0.214,0.414,7.051,0.2234,0
12,s5588,670504,0.061,0.156,0.398,4.498,0.3927,0
13,s5675,670591,0.101,0.195,0.417,4.766,0.3169,0.07
