Soil Texture,Residual Water Content,Wilting Point,Field Capacity,Total Porosity,Pore-size Distribution Index,Saturated Hydralic Conductivity (cm/hr),Wetting Front Suction (cm)
Sand,0.02,0.033,0.048,0.437,0.694,21.0 – 23.56,9.62 – 10.6
Loamy sand,0.035,0.055,0.084,0.437,0.553,5.98 – 6.11,11.96 – 14.2
Sandy loam,0.041,0.095,0.155,0.453,0.378,2.18 – 2.59,21.53 – 22.2
Loam,0.027,0.117,0.2,0.463,0.252,1.32,17.50 – 31.5
Silt loam,0.015,0.133,0.261,0.501,0.234,0.68,32.96 – 40.4
Sandy clay loam,0.068,0.148,0.187,0.398,0.319,0.30 – 0.43,44.9 – 53.83
Clay loam,0.075,0.197,0.245,0.464,0.242,0.20 – 0.23,40.89 – 44.6
Silty clay loam,0.04,0.208,0.3,0.471,0.177,0.15 – 0.20,53.83 – 58.1
Sandy clay,0.109,0.239,0.232,0.43,0.223,0.12,46.65 – 63.6
Silty clay,0.056,0.25,0.317,0.479,0.15,0.09 – 0.10,57.77 – 64.7
Clay,0.09,0.272,0.296,0.475,0.165,0.06,62.25 – 71.4
